,total_expr,mean_expr,median_expr,std_expr,n_expressed
925L_TFH,5167.251659563173,3.623598639244862,3.713856348260803,2.4807097528159536,1317
925L_Treg,5351.512132857231,3.752813557403388,3.8842286520910667,2.479821962643095,1321
925L_Th1,5410.933591788878,3.7944835847046834,3.9340304754004176,2.4382334115814195,1332
925L_Th1/Th17,5445.504681363587,3.8187269855284622,3.978517287662138,2.4651951617742034,1319
925L_Th17,5424.013167699415,3.8036557978256766,3.933601035575638,2.502941438337236,1318
925L_Th2,5035.038018114577,3.5308822006413587,3.6120756976735864,2.4237034278832876,1323
925L_CD4_naive,5179.000668483373,3.6318377759350446,3.720458248594446,2.3968001781793484,1317
925L_CD4_TE,5396.5370297787285,3.7843878189191646,4.081296111601704,2.531956151045849,1299
925L_Progenitor,5871.663127638403,4.1175758258333826,4.394763585293472,2.2573262133102516,1372
925L_B_naive,5174.466353252612,3.6286580317339494,3.789237609919277,2.343204791962914,1341
925L_B_NSM,5081.207508334237,3.5632591222540233,3.594947795720219,2.3647578269829754,1325
925L_B_Ex,4891.074349973658,3.4299259116224814,3.448322048391241,2.33299861901967,1327
925L_B_SM,5183.933899276024,3.635297264569442,3.706434512423535,2.3668503636056233,1330
925L_Plasmablasts,3494.9879651667707,2.450903201379222,2.2090222102544574,1.984180891468981,1307
925L_C_mono,4975.210062349927,3.4889271124473544,3.483381952233685,2.4851906364417107,1327
925L_I_mono,5122.896898068479,3.592494318421093,3.590540755273725,2.4389391612367377,1345
925L_NC_mono,5179.448956396296,3.632152143335411,3.705460153971969,2.485300344294586,1353
925L_NK,5675.884023378342,3.9802833263522737,4.215380151410109,2.43948182489648,1349
925L_pDC,5074.608069172769,3.558631184553134,3.631889341060319,2.5056104437101556,1310
925L_mDC,5153.481046108942,3.613941827565878,3.698590613640019,2.4276205220178597,1342
925L_Neutrophils,4158.590010093249,2.916262279167776,2.310779257293042,2.702090822157877,1235
925L_Basophils,5086.450347555257,3.566935727598357,3.582144909001216,2.5256862601432424,1298
9JD4_CD8_naive,5158.250498679312,3.617286464712,3.7511281459292176,2.428878174418323,1310
9JD4_CD8_CM,5490.652290297392,3.8503873003488023,4.063450325049537,2.448251897738584,1338
9JD4_CD8_EM,5579.284942365388,3.9125420353193463,4.098911115871514,2.5096925451571352,1335
9JD4_CD8_TE,5476.915386423968,3.8407541279270463,4.124076933845037,2.534896679134595,1316
9JD4_MAIT,5297.651477826716,3.715043112080446,3.9050169248540088,2.4674669991050537,1317
9JD4_VD2+,5423.686963065683,3.8034270428230594,4.060326324584087,2.513429664570233,1323
9JD4_VD2-,5391.870250695109,3.781115182815644,3.952077014519189,2.508419731570541,1330
9JD4_TFH,5333.739588946376,3.7403503428796467,3.869598391941938,2.4249569933991255,1331
9JD4_Treg,5493.839493826517,3.852622365937249,4.084120991708914,2.4274873469534444,1335
9JD4_Th1,5473.591064835951,3.8384229066170765,4.019674853263092,2.4146797294848215,1354
9JD4_Th1/Th17,5475.9864233049575,3.8401026811395216,4.036644006533525,2.39604406354893,1356
9JD4_Th17,5560.8564737886545,3.8996188455740914,4.026787826327427,2.4197657403267336,1351
9JD4_Th2,5454.77925125816,3.825230891485386,3.969848109714089,2.4319719647475355,1339
9JD4_CD4_naive,5287.36345585058,3.7078285104141515,3.870895404174725,2.472942291000342,1316
9JD4_CD4_TE,5316.177359338921,3.7280346138421603,3.8729854943643396,2.4691737998510193,1319
9JD4_Progenitor,5746.346041405641,4.029695681210127,4.267888003250039,2.2948765579099732,1376
9JD4_B_naive,5214.2482649730755,3.656555585535116,3.796540493587316,2.333373127069448,1353
9JD4_B_NSM,5246.124936679578,3.6789094927626778,3.8109232315749217,2.3510441326488922,1338
9JD4_B_Ex,5221.3430198369515,3.6615308694508775,3.8322104945466227,2.2920173194539335,1353
9JD4_B_SM,5291.786552771204,3.710930261410381,3.8697677338112833,2.305874946936955,1355
9JD4_Plasmablasts,3732.455693138496,2.6174303598446675,2.4533157802926366,2.0222981850662585,1322
9JD4_C_mono,5161.539338582728,3.619592804055209,3.6119404674954594,2.4972684113497636,1342
9JD4_I_mono,5127.800998789885,3.5959333792355435,3.663937697918738,2.5129269072014213,1320
9JD4_NC_mono,5203.529992696603,3.64903926556564,3.67562547946582,2.528283241541274,1331
9JD4_NK,5535.768510647782,3.882025603539819,4.105569392652582,2.4884486597456217,1351
9JD4_pDC,5165.387782959542,3.622291572902905,3.6778049999152373,2.5216173488854428,1315
9JD4_mDC,5347.029926535202,3.7496703552140267,3.8824903074151402,2.4594412651745317,1359
9JD4_Neutrophils,4325.811403635524,3.033528333545248,2.3899187971242375,2.683151093935701,1270
9JD4_Basophils,5162.637397009252,3.6203628310022804,3.5937081412807377,2.484625086796732,1318
