,ENSG00000134184,ENSG00000162627,ENSG00000158747
9JD4_Th1,4.505992333911736,1.3937604950503724,1.192280661255199
9JD4_Th1/Th17,4.1109010632070495,1.378406191686849,1.508096464817469
9JD4_Th17,4.665758799375352,0.9840438848374803,2.0469868904866306
9JD4_Th2,4.838386071210529,1.2086689501841152,1.8222569887375173
9JD4_CD4_naive,4.926318816761,0.0,0.3775757875484496
9JD4_CD4_TE,4.948788086693636,0.0,1.0603988464099199
9JD4_Progenitor,5.425851413692738,2.5090598519810317,1.6763983101999838
9JD4_B_naive,3.737905095809001,3.4281397103830478,0.0
9JD4_B_NSM,4.2225843385360715,2.260880779084889,0.0
9JD4_B_Ex,3.8302785507217414,2.596019157621304,0.0
9JD4_B_SM,3.235082144363498,3.2134546049196593,0.0
9JD4_Plasmablasts,3.2646563753716125,0.7967170185530831,0.0
9JD4_C_mono,3.894415304372513,2.2294338014563118,0.0
9JD4_I_mono,5.005916426834203,1.7848347807299048,0.0
9JD4_NC_mono,3.2495682152414425,2.6011592680590785,0.0915708065842927
9JD4_NK,4.038800233597723,1.6613710934987813,0.0
9JD4_pDC,5.156572937913243,0.9057806400727744,0.0
9JD4_mDC,5.681171410128782,3.5899983252029948,0.07343157852836674
9JD4_Neutrophils,0.0,0.0,0.0
9JD4_Basophils,1.9554255212169769,0.0,0.0
G4YW_CD8_naive,0.2627614702059169,0.0,0.0
G4YW_CD8_CM,0.9542305623528565,0.0,0.1997470882432416
G4YW_CD8_EM,1.2824813208130943,0.0,0.0
CYFZ_PBMC,5.156295886560032,0.0,0.6775037320738784
FY2H_PBMC,0.19068779900432128,0.0,1.2533200876984767
FLWA_PBMC,4.398290165578976,1.4955058604301679,0.0
453W_PBMC,5.857127064977741,0.0,0.652615901440784
684C_PBMC,0.0,0.0,0.0
CZJE_PBMC,5.7925269873751155,0.0,0.0
G4YW_CD8_TE,0.0,0.0,0.0
G4YW_MAIT,0.4050404113642157,0.0,0.0
G4YW_VD2+,0.0,0.0,0.4283493179013485
G4YW_VD2-,0.9083010540220511,0.0,0.0
G4YW_TFH,0.3585538019551917,0.0,0.0
G4YW_Treg,1.3105378958915348,0.0,0.4404090260553885
G4YW_Th1,0.0,0.0,0.3233550799440172
G4YW_Th1/Th17,0.5566903400081491,0.41945583303458417,0.833851895099361
G4YW_Th17,0.0,0.0,0.0
G4YW_Th2,0.32969194923653916,0.0,0.2653000615779258
G4YW_CD4_naive,1.1064890306914692,0.0,0.0
G4YW_Progenitor,0.0,0.7044523712675262,1.316318971176901
G4YW_B_naive,0.15177440815728124,0.0,0.0
G4YW_B_NSM,0.6347661027158624,0.0,0.0
G4YW_B_Ex,0.238486062994468,0.0,0.0
G4YW_B_SM,0.82008580982366,0.0,0.0
G4YW_Plasmablasts,0.1389245340800802,0.0,0.0
G4YW_C_mono,0.791684899902759,0.0,0.0
G4YW_I_mono,1.8152311082788384,0.22702262950836316,0.0
G4YW_NC_mono,0.9003386004030937,0.1181128983273627,0.0
G4YW_NK,1.2073931304583352,0.0,0.0
G4YW_pDC,0.7807291967234891,0.0,0.0
G4YW_mDC,0.9512184952021411,0.20816512682908345,0.0
G4YW_Neutrophils,0.5082643432834031,0.0,0.0
G4YW_Basophils,0.0,0.0,0.0
DZQV_PBMC,4.559008141738556,1.6434004569999014,0.9547658298085184
925L_PBMC,4.540802360761034,0.5627059789818408,0.0
9JD4_PBMC,4.558398977009875,1.6009257641212566,0.5890318886829576
G4YW_PBMC,0.721136383777575,0.0,0.19068185785396016
4DUY_PBMC,0.31619209319666736,0.9640296395610356,0.4543741711483984
36TS_PBMC,0.6351739531772114,0.0,0.7864751235780063
CR3L_PBMC,5.678271388994138,0.0,0.5842371236872307
