,ENSG00000134184,ENSG00000162627,ENSG00000158747
9JD4_I_mono,0.8255214099750242,1.3358666794486596,-0.6499743801684545
9JD4_NC_mono,-0.07755554813641141,2.247852920237971,-0.489058668009359
9JD4_NK,0.32825079805218754,1.1979347838120462,-0.6499743801684545
9JD4_pDC,0.9029857891037844,0.3537997518582536,-0.6499743801684545
9JD4_mDC,1.1727231847929276,3.3525700130950464,-0.5209344034048824
9JD4_Neutrophils,-1.7484145267979214,-0.6581256451396765,-0.6499743801684545
9JD4_Basophils,-0.7429762430576635,-0.6581256451396765,-0.6499743801684545
G4YW_CD8_naive,-1.6133081579946327,-0.6581256451396765,-0.6499743801684545
G4YW_CD8_CM,-1.2577694326766922,-0.6581256451396765,-0.2989624566600688
G4YW_CD8_EM,-1.0889898623776921,-0.6581256451396765,-0.6499743801684545
CYFZ_PBMC,0.9028433351805548,-0.6581256451396765,0.5405906001318695
FY2H_PBMC,-1.650366909396574,-0.6581256451396765,1.5524622041336742
FLWA_PBMC,0.5130928880788046,1.0126324772760777,-0.6499743801684545
453W_PBMC,1.2631958464750903,-0.6581256451396765,0.49685566822720395
684C_PBMC,-1.7484145267979214,-0.6581256451396765,-0.6499743801684545
CZJE_PBMC,1.2299798582159989,-0.6581256451396765,-0.6499743801684545
G4YW_CD8_TE,-1.7484145267979214,-0.6581256451396765,-0.6499743801684545
G4YW_MAIT,-1.5401513474393775,-0.6581256451396765,-0.6499743801684545
G4YW_VD2+,-1.7484145267979214,-0.6581256451396765,0.10275608179934127
G4YW_VD2-,-1.2813854106457323,-0.6581256451396765,-0.6499743801684545
G4YW_TFH,-1.5640537749539904,-0.6581256451396765,-0.6499743801684545
G4YW_Treg,-1.074563767193591,-0.6581256451396765,0.12394838749615571
G4YW_Th1,-1.7484145267979214,-0.6581256451396765,-0.08174838205457415
G4YW_Th1/Th17,-1.4621761740918422,-0.1895154854739585,0.8153383820557152
G4YW_Th17,-1.7484145267979214,-0.6581256451396765,-0.6499743801684545
G4YW_Th2,-1.578893926802344,-0.6581256451396765,-0.18376740944175252
G4YW_CD4_naive,-1.1794813611391886,-0.6581256451396765,-0.6499743801684545
G4YW_Progenitor,-1.7484145267979214,0.12887864036122687,1.6631689957226152
G4YW_B_naive,-1.6703753487276778,-0.6581256451396765,-0.6499743801684545
G4YW_B_NSM,-1.4220312746790025,-0.6581256451396765,-0.6499743801684545
G4YW_B_Ex,-1.6257900569465216,-0.6581256451396765,-0.6499743801684545
G4YW_B_SM,-1.3267438161509229,-0.6581256451396765,-0.6499743801684545
G4YW_Plasmablasts,-1.676982481138642,-0.6581256451396765,-0.6499743801684545
G4YW_C_mono,-1.341346960999805,-0.6581256451396765,-0.6499743801684545
G4YW_I_mono,-0.8150612334626006,-0.40449915509424245,-0.6499743801684545
G4YW_NC_mono,-1.2854795352309651,-0.5261715756412494,-0.6499743801684545
G4YW_NK,-1.127598615521338,-0.6581256451396765,-0.6499743801684545
G4YW_pDC,-1.3469801509537118,-0.6581256451396765,-0.6499743801684545
G4YW_mDC,-1.2593181736508006,-0.42556649197570473,-0.6499743801684545
G4YW_Neutrophils,-1.4870757933854666,-0.6581256451396765,-0.6499743801684545
G4YW_Basophils,-1.7484145267979214,-0.6581256451396765,-0.6499743801684545
DZQV_PBMC,0.5957306589183343,1.1778582413591479,1.027818239331756
925L_PBMC,0.5863696329004273,-0.02947843633141719,-0.6499743801684545
