,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DZQV_Th1/Th17,-79.5130950224893,-5.697493638239101,5.246239618741957,-15.559525955273703,-4.373310017728486,-10.278334575084877,6.647238062985088,-6.221864719990468,27.604608425895425,5.674207951301982,17.532920770785804,-3.8363697552700207,-18.726774362252847,-2.6274026838215665,-3.460090852712467,3.719899946323127,-10.044033284092245,1.703058577223799,1.9829954253496125,-6.580763802141634,-1.8966168404387238,-0.5859519613466777,-3.609512430106079,-13.488802835665695,-4.77790271752945,9.84604200843088,-5.924931233257906,-5.489620420620113,3.314724820204093,11.128187683932824,-14.605873935242673,-9.588539538337933,4.684435772607181,2.7518209140104037,0.4450062064714963,1.5967170430387811,10.621301147921237,-5.849516558679021,3.4651467037152943,2.812505349350567,2.0398548589689027,4.099495677245063,8.754745392762604,5.2953970569687,5.551805179420843,-6.316752634619004,1.2455517896291115,-5.873312688316433,9.999587656871746,1.5647616054213656
DZQV_Th17,-78.78806792985635,-4.548695167550816,5.239695867478198,-23.27561174008402,-3.62767060942305,-5.917145709773374,3.2040506887561735,-6.060823363348481,23.957891439850464,5.280517710720048,16.361884434213117,0.9145856523229441,-20.070669701668827,-4.655249333619859,-5.546195598246055,6.326307964491098,-9.559346983571217,2.9391765243521837,1.85647379792141,-10.319860507755038,-7.378368987574238,-4.519222171652887,-9.358498152931372,-13.21134588915892,-7.070549137256318,6.94230630355364,-11.830768785198963,-12.111927000415088,1.9652740553292471,11.342709738508255,-5.23420379316044,-9.379408909880295,0.8689263791461553,1.485145805405553,0.15657557921289944,-2.9558024116567596,9.65136610052857,4.400615783432717,-1.725475655342092,-4.724233226432437,-0.15794017973505675,8.42278664665225,0.6746090003758505,-11.048284536946518,1.8881943253335849,-7.271136883897339,-3.483310206831072,-1.356063761384862,-0.4489719258232264,7.2504262557332275
DZQV_Th2,-76.9638410964365,-4.088215585369888,-0.28960281716265013,-26.977599564678272,-3.0476886825074057,-6.140214296513291,5.542887905662214,-9.428831426969335,21.454041693031957,-1.5831757562325361,4.97526581183638,6.320307193508134,-18.41990953168549,-14.048963587695239,-3.421186004510922,2.6678218238548994,-14.161952524750847,-0.4388094677689335,3.1993021107659962,-6.712307020585353,2.4788530168285807,-9.47431346953926,-6.949667765946962,-1.2825567370146662,5.13558188733429,-7.3850304774952,-13.374059360210175,-1.1099805334516506,9.471932161630804,2.0116995511933076,-12.313960664702023,6.619642071197141,-5.932833589764808,1.1937638242437338,5.967961515785346,-3.668556009219307,-9.56275098288793,6.74489479150438,-8.922204116593296,9.391524379512678,-1.7346873928756636,-0.3366373999719681,-3.8954701833222916,-3.349131790514632,9.009394556701634,2.001139612763544,5.167552398015491,-11.873023193702746,-10.757477684348798,-1.422759813274163
DZQV_CD4_naive,-76.3347975073854,2.12256523816825,-2.3696593231425642,-39.91343801428093,-8.148434912053984,-3.2024577569296815,3.521049669772713,1.0396637447989112,6.064664967310723,-25.991847330428932,-24.774435483324556,-12.431819189955787,-9.258160335887558,-6.633245516715148,-7.406536803241709,3.9982638810707476,-4.7036318750879,3.5255012952902463,7.413179497343205,-5.513552397655928,-4.396787304775214,-23.401884846365274,10.532730045823918,-3.658068194227248,-12.326728768724358,2.89643360563119,-2.5125566237472667,-3.5444813455641113,5.655664610743098,-5.336275279052306,-4.5298679758434774,1.4766507800473225,3.7537738160013028,1.985645117479104,2.520206780178599,-0.9311831732365203,-2.5728023964096605,0.16986411315944913,-3.1498831782267183,-2.356995423426425,6.633615478334035,7.556683318461695,3.0134259645459505,3.4715506871284507,-16.236515211601255,-1.2879874712795911,-7.720710564444962,1.6533508749970707,1.4053403389250525,6.0159393079756525
DZQV_Progenitor,58.55354992509728,16.26692578121332,-8.424549656965064,4.755783816352431,5.563698710589853,54.469880251472595,29.18624060249775,-15.773822973652358,1.276153067125991,-60.52806033456333,36.027318154767805,-10.514057816395612,-14.32898209173721,-8.640119136361598,12.91069176652724,-13.07347907066706,-4.427765243458514,2.9588597180018974,-5.352077948857075,8.077430114815009,-5.030665237170374,-5.7388857099956425,4.904307165537378,4.693728478471046,6.076421398956191,2.9932296749432403,-0.37210342110336464,-7.778953802336003,12.989416608050272,-3.066768198913761,-3.3115888307817314,-10.199995982726783,-6.580805622405924,-8.82709315845966,6.673867146486833,2.850676573931396,-13.975280189658731,-1.6200064634625644,10.205692095592912,0.9762940190236842,-9.743908527674105,-5.833613237135609,12.463282572404298,14.452321221428535,-6.966386303619942,-13.414224025894944,13.356671112202092,-2.2676776136098806,-7.167282320127253,3.9873054464815265
DZQV_B_naive,90.19227342300142,66.81603076390836,17.12346215194046,0.582683370612165,1.41441343931035,4.5188134794633825,-23.26913469536871,7.078822695148413,26.256161561746598,-9.317522204310265,-7.238735294388618,-17.293724330654143,-16.911196624436023,-4.043705588328978,5.004282731816257,-4.16426170665131,9.88610996149306,15.54955821153821,16.924921785281764,9.74758312692128,-8.442718934185043,5.919474627856698,-12.770494789510494,12.596980126788118,18.687689997994244,3.1060916564989123,6.7279559819281065,-0.5996568128647132,-2.382692489748546,8.923301796533503,-1.5270650905175982,4.326696967944787,2.442551636174639,3.653393916725907,1.1306468536542653,-8.743346608038319,-5.786191876055633,3.9502767233925407,14.135714080737918,-3.3333898484968136,-4.615214243451861,5.453244874086018,13.693965095156493,-2.47320908887074,10.738695375145168,15.576530256350186,1.5231890575437546,5.679420003123908,1.2303190105053825,5.2397876242137045
DZQV_B_NSM,85.15398494870573,68.3130017455659,6.061625295257379,0.31964942951157727,-1.0785486515350875,7.656813780857141,-34.09040141060368,4.331968540313934,26.261908881182222,-2.162784586388258,-2.7918734322569816,-14.106977141406112,-16.897549271041996,-5.478767399828156,4.1168711865866765,-5.949223809818041,16.834760286281245,0.2572916787174066,-0.7295200320413122,3.111307702931053,-0.40665207060338554,9.61385274292517,-8.204757735345927,13.792027933076286,8.557851068434601,-8.479963142865294,2.6132915198348017,-14.523278166543484,6.7182239780742865,15.164882472206,-0.8004943872374077,13.658231172773093,-7.74343402551229,-9.433353251195646,-11.69099473874283,15.00698157488109,5.30655176065349,-4.954281570062378,2.038596744441738,-0.14306977558478817,-1.5502967162583294,-7.230749975110943,-3.448756935837491,5.253525093478157,1.2269998641133621,2.043914331295997,3.8504236427541976,-0.6889583509701958,1.9303977161450314,1.8660285782576582
DZQV_B_Ex,85.91279628986499,66.89546522418314,10.517087586844392,1.15224801429636,2.680928779704364,2.9153834047145195,-29.44465240094014,-0.018093187938244156,23.455982921328463,-0.6781396124564553,1.7229375727398832,-5.18692129567045,-16.216260289598807,-7.887039003344166,2.361102783419192,-7.217226333331945,15.97723049354256,0.8551279495311717,-21.357029352220152,-2.970790085777913,-0.7239160090307193,-12.822275807582136,1.4060203724417693,19.189232614548487,7.596051133197889,-11.279932774438656,8.31812908652173,3.27446417173969,-11.023904328331227,15.743990023552335,2.1308701138944754,-26.709036512125216,-3.656817887401767,6.7359798849131485,2.4036918270291023,-16.679927123119462,11.92458518469061,-3.4771526691700743,-16.03023088233746,-0.4551719662975433,18.217409567857036,3.228037613166085,-0.6190432373458596,-0.46803385502583017,-6.517468337771898,3.1177002791045867,-5.212171977025075,9.965236349860287,-1.8554352204570448,-5.656090047711318
DZQV_B_SM,81.60757710924068,73.63724540029308,7.035249795703363,1.2341866523041445,-2.0935617240928805,-8.286666425214968,-20.427927908055864,-3.0519970051497682,24.126527999992955,3.504035669384827,-0.37122705018202573,-7.655483021961785,-14.284448581788403,-12.234720325763208,-1.7479950757671507,-2.1821844387054226,-1.4823477367573306,1.8394429154807321,-24.62463733500988,-5.699970094450351,1.939327614277226,-10.577234744996316,12.376517353434682,11.516035607019772,4.813046473165826,-14.941862353818241,-2.4639245939281897,-2.240196578947003,-0.17994441429755692,6.279535491173788,-11.023275640072292,-8.534972300540577,-4.011932819703808,7.519651405254964,-1.498226455276892,2.2433540471897984,4.154882803988586,-9.242890600724056,2.8279932628250646,0.36715824905865635,-3.797702277010419,-7.4886356424738345,-9.318938687573679,6.439952921900484,1.77906729309143,4.3167939304268295,7.802231267614895,0.3896119661226712,-5.398494344063741,2.2676058082319774
DZQV_Plasmablasts,73.8061408968415,90.56964551981663,-45.6291723997599,1.0365911604126965,12.369227539459493,-68.54957550541768,58.55177971305816,-35.14626296002343,-0.46663014709064105,-12.500895317716447,1.7050601090185455,-1.7022963748022477,-5.444798994665112,0.4719344543375713,-6.386258416154074,-2.769473156706953,8.39882032286632,6.36162057603427,4.692713984503738,-3.0599289612476097,2.777595452243126,0.13386055715814515,-2.1602413867265526,3.1503129481745042,3.616231409907807,-3.05865081074548,1.7415808954732261,-4.1850032518233,1.426771256030997,6.01951437589706,-0.9583658147602503,-1.5056040084779203,-0.9256490719213537,-1.6880534684222612,0.7427739484920446,-0.5831229173596755,0.7386736197865955,-0.750802326480174,1.032718664542672,-0.474259297404138,-1.2520788256368185,1.64994090432776,0.5661686503438973,3.1895584751723587,-2.4322575610063453,-0.5893378515051673,-3.373874185404481,2.548697351052664,-0.26286469262786605,-1.8679902184291297
