,total_expr,mean_expr,median_expr,std_expr,n_expressed
925L_Treg,0.4038440337065433,0.4038440337065441,0.43715528630731515,0.4768971350913514,-0.4601492529932466
925L_Th1,0.5597572510385928,0.5597572510385936,0.5629898495794254,0.11349493757086432,-0.0815694494410855
925L_Th1/Th17,0.6504667337604421,0.6504667337604425,0.6753949428136501,0.34908764322982855,-0.5289819445481849
925L_Th17,0.5940761452262354,0.5940761452262354,0.5619047814190262,0.6789159132957869,-0.5633982903256541
925L_Th2,-0.42653775628953144,-0.4265377562895303,-0.250495202904955,-0.013468562504131077,-0.39131656143830823
925L_CD4_naive,-0.04880081751010243,-0.04880081751010089,0.023355633373219952,-0.2485500888683259,-0.5978146361031234
925L_CD4_TE,0.5219827779462235,0.5219827779462248,0.9350868087865174,0.9324474764199457,-1.2173088600975688
925L_Progenitor,1.7686441674105413,1.7686441674105424,1.7271269396668065,-1.4672784176134048,1.295084381657682
925L_B_naive,-0.060698197492626046,-0.06069819749262551,0.1971408548636888,-0.7168684272285106,0.22817766255613722
925L_B_NSM,-0.30539576664218665,-0.3053957666421852,-0.293772374680006,-0.5285372618096685,-0.32248386988336986
925L_B_Ex,-0.804277365554154,-0.8042773655541522,-0.6642525228661553,-0.8060503193879331,-0.2536511783284315
925L_B_SM,-0.035856741438047984,-0.035856741438046826,-0.012078224249791492,-0.5102526044304149,-0.1504021409960239
925L_Plasmablasts,-4.4674038495251525,-4.467403849525151,-3.795598797609037,-3.854031686616564,-0.9419780938778153
925L_C_mono,-0.5835175618576877,-0.5835175618576863,-0.5756664552241749,0.5238087924196955,-0.2536511783284315
925L_I_mono,-0.1960089054149619,-0.19600890541496127,-0.30490766999765645,0.11966180246744666,0.365843045666014
925L_NC_mono,-0.04762457559259489,-0.04762457559259367,-0.014540141546708572,0.5247674234323736,0.6411738118857675
925L_NK,1.2549484322269695,1.2549484322269702,1.2738777499584024,0.1244036162943418,0.5035084287758907
925L_pDC,-0.32271172977656787,-0.32271172977656687,-0.20043195227030056,0.7022377745521347,-0.8387290565454077
925L_mDC,-0.11576057415413675,-0.11576057415413513,-0.03189744997659396,0.020759141516792867,0.2625940083336064
925L_Neutrophils,-2.7262091412021854,-2.7262091412021836,-3.5384886614113595,2.4190901167188863,-3.419954989855597
