feature,importance,importance_normalized
ENSG00000211945.2,0.0,0.0
ENSG00000242371.1,0.0,0.0
ENSG00000281958.1,0.0,0.0
ENSG00000204287.13,0.0,0.0
ENSG00000211772.11,0.0,0.0
ENSG00000211788.2,0.0,0.0
ENSG00000138795.9,0.0,0.0
ENSG00000211868.1,0.0,0.0
ENSG00000081189.15,0.0,0.0
ENSG00000165929.12,0.0,0.0
ENSG00000167286.9,0.0,0.0
ENSG00000253701.2,0.0,0.0
ENSG00000156738.17,0.0,0.0
ENSG00000179639.10,0.0,0.0
ENSG00000211666.2,0.0,0.0
ENSG00000280411.1,0.0,0.0
ENSG00000119866.20,0.0,0.0
ENSG00000211747.3,0.0,0.0
ENSG00000211869.1,0.0,0.0
ENSG00000211801.3,0.0,0.0
ENSG00000282780.1,0.0,0.0
ENSG00000227191.8,0.0,0.0
ENSG00000216490.3,0.0,0.0
ENSG00000131042.14,0.0,0.0
ENSG00000211753.4,0.0,0.0
ENSG00000211785.1,0.0,0.0
ENSG00000243238.1,0.0,0.0
ENSG00000129824.15,0.0,0.0
ENSG00000211897.8,0.0,0.0
ENSG00000101439.8,0.0,0.0
ENSG00000211846.1,0.0,0.0
ENSG00000211678.2,0.0,0.0
ENSG00000203747.10,0.0,0.0
ENSG00000175857.8,0.0,0.0
ENSG00000170458.13,0.0,0.0
ENSG00000243466.1,0.0,0.0
ENSG00000211856.1,0.0,0.0
ENSG00000166428.12,0.0,0.0
ENSG00000211653.2,0.0,0.0
ENSG00000160883.10,0.0,0.0
ENSG00000211651.3,0.0,0.0
ENSG00000211956.2,0.0,0.0
ENSG00000119535.17,0.0,0.0
ENSG00000163519.13,0.0,0.0
ENSG00000211710.3,0.0,0.0
ENSG00000143226.13,0.0,0.0
ENSG00000153563.15,0.0,0.0
ENSG00000211663.2,0.0,0.0
ENSG00000242076.2,0.0,0.0
ENSG00000168685.14,0.0,0.0
ENSG00000237550.5,0.0,0.0
ENSG00000278030.1,0.0,0.0
ENSG00000175489.9,0.0,0.0
ENSG00000211648.2,0.0,0.0
ENSG00000211941.3,0.0,0.0
ENSG00000104974.11,0.0,0.0
ENSG00000256553.1,0.0,0.0
ENSG00000211900.2,0.0,0.0
ENSG00000211764.1,0.0,0.0
ENSG00000211716.2,0.0,0.0
ENSG00000224650.2,0.0,0.0
ENSG00000211851.1,0.0,0.0
ENSG00000211934.3,0.0,0.0
ENSG00000140968.10,0.0,0.0
ENSG00000211965.4,0.0,0.0
ENSG00000038427.15,0.0,0.0
ENSG00000100368.13,0.0,0.0
ENSG00000136689.18,0.0,0.0
ENSG00000128383.12,0.0,0.0
ENSG00000116824.4,0.0,0.0
ENSG00000211794.3,0.0,0.0
ENSG00000165025.14,0.0,0.0
ENSG00000110077.14,0.0,0.0
ENSG00000211845.1,0.0,0.0
ENSG00000124731.12,0.0,0.0
ENSG00000211866.1,0.0,0.0
ENSG00000239998.5,0.0,0.0
ENSG00000166825.13,0.0,0.0
ENSG00000158869.10,0.0,0.0
ENSG00000265612.1,0.0,0.0
ENSG00000135218.17,0.0,0.0
ENSG00000185215.8,0.0,0.0
ENSG00000211935.3,0.0,0.0
ENSG00000211850.1,0.0,0.0
ENSG00000042980.12,0.0,0.0
